Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,Language_en,Language_es,TitleWordCount
Novacene,James Lovelock,MIT Press,2020-11-10,9780262539517.0,155.0,Social Science,5.0,1.0,en,1.0,0.0,1
Making Social Science Matter,Bent Flyvbjerg,Cambridge University Press,2001-01-15,9780521775687.0,218.0,Social Science,4.5,3.0,en,1.0,0.0,4
From Natural Philosophy to the Sciences,David Cahan,University of Chicago Press,2003-09-15,9780226089287.0,469.0,History,3.0,1.0,en,1.0,0.0,6
The Undiscovered Mind,John Horgan,Simon and Schuster,2000-11-14,9780684865782.0,340.0,Medical,5.0,2.0,en,1.0,0.0,3
"African Americans in Science, Math, and Invention","Ray Spangenburg, Diane Moser, Douglas Long",Infobase Publishing,2014-05-14,9781438107745.0,273.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,7
Different Engines,"M. Brake, N. Hook",Palgrave Macmillan,2007-11-04,9780230553897.0,274.0,Fiction,5.0,1.0,en,1.0,0.0,2
Ten Little Ladybugs,Melanie Gerth,Intervisual/Piggy Toes,2000-01-01,9781581170917.0,20.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,3
Walt Disney,Neal Gabler,Vintage,2007-10-09,9780679757474.0,914.0,Biography & Autobiography,4.0,1.0,en,1.0,0.0,2
Thomas Paine's Rights of Man,Christopher Hitchens,Grove Press,,9780802143839.0,180.0,Biography & Autobiography,4.0,2.0,en,1.0,0.0,5
Wizard:,Marc Seifer,Citadel,2011-10-24,9780806535562.0,802.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,1
E.B. White,Scott Elledge,W. W. Norton & Company,1986-01-01,9780393303056.0,420.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,2
Steve Jobs,Walter Isaacson,Simon and Schuster,2011-01-01,9781451648546.0,656.0,Biography & Autobiography,3.5,5.0,en,1.0,0.0,2
The Beatles,Bob Spitz,"Little, Brown",2012-06-25,9780316031677.0,704.0,Biography & Autobiography,3.0,1.0,en,1.0,0.0,2
Bee Gees,"Barry Gibb, Robin Gibb, David Leaf, Maurice Gibb",Conran Octopus,1979-01-01,9780706410914.0,160.0,Musicians,5.0,1.0,en,1.0,0.0,2
Mark Rothko,James E. B. Breslin,University of Chicago Press,1993-01-01,9780226074061.0,774.0,Art,4.0,1.0,en,1.0,0.0,2
A Night Divided (Scholastic Gold),Jennifer A. Nielsen,Scholastic Inc.,2015-08-25,9780545682435.0,300.0,Juvenile Fiction,4.5,12.0,en,1.0,0.0,5
Stories I Only Tell My Friends,Rob Lowe,Henry Holt and Company,2011-04-26,9781429996020.0,321.0,Biography & Autobiography,4.5,3.0,en,1.0,0.0,6
The Snowball,Alice Schroeder,A&C Black,2009-09-16,9781408807323.0,833.0,Business & Economics,4.5,3.0,en,1.0,0.0,2
Leonardo da Vinci,Walter Isaacson,Simon and Schuster,2017-10-17,9781501139178.0,624.0,Biography & Autobiography,4.0,2.0,en,1.0,0.0,3
The Snowball,Alice Schroeder,A&C Black,2009-09-16,9781408807323.0,833.0,Business & Economics,4.5,3.0,en,1.0,0.0,2
C.S. Lewis,A. N. Wilson,W. W. Norton & Company,2002-01-01,9780393323405.0,370.0,Biography & Autobiography,4.0,1.0,en,1.0,0.0,2
Shakey: Neil Young's Biography,Jimmy McDonough,Anchor,2003-05-13,9781400075447.0,1001.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,4
